core id num=1
ROM : START=0x0 SIZE=2048
RAM : START=0x200000 SIZE=2048
RAM : START=0x5ff7000 SIZE=10240
RAM : START=0x7ff7000 SIZE=10240
ELF SET CACHE RIGION:addr=0x0 size=81 [KB]
Elf loading was succeeded:0x0 - 0x14530 : 81.304 KB
Elf loading was succeeded:0x14530 - 0x14a04 : 1.212 KB
ELF SYMBOL SECTION LOADED:index=21
ELF SYMBOL SECTION LOADED:sym_num=1058
ELF STRING TABLE SECTION LOADED:index=22
[ l_app runner: V850E2M VCPU is powered on ]
DEBUG_FUNC_VDEV_TX_IPADDR = 127.0.0.1
VDEV:TX IPADDR=127.0.0.1
VDEV:TX PORTNO=54001
VDEV:RX IPADDR=127.0.0.1
VDEV:RX PORTNO=54002
DEVICE_CONFIG_COMPLEMENTAL_TX_SENDING=1
DEVICE_CONFIG_RESET_AREA_OFFSET=68
DEVICE_CONFIG_RESET_AREA_SIZE=20
DEBUG_FUNC_FT_LOG_SIZE=1024
athrill_device_func_call=0x2004d0
[ l_app runner: Athrill2 is booted up ]
brick_dri initialized.
_____   ______ ___  ______
/ __/ | / /_  // _ /_  __/
/ _/ | |/ //_ </ , _/ / /
/___/ |___/____/_/|_| /_/

====================>Beta 7<=

Powered by TOPPERS/ASP3 RTOS of Hakoniwa
Initialization is completed..
[ l_app runner: EV3RT is booted up ]
[ l_app runner: EV3RT boot time: 0 secs. ]
Press Force Sensor to Start
Force Sensor Pressed, Start!
Edge: Right | Lap: 0 | State: 0 | Ref:  26 | Err:  -9 | L:    3, R:   21
Edge: Right | Lap: 0 | State: 0 | Ref:  26 | Err:  -9 | L:    3, R:   21
Edge: Right | Lap: 0 | State: 0 | Ref:  25 | Err:  -8 | L:   83, R:  -59
Edge: Right | Lap: 0 | State: 0 | Ref:  24 | Err:  -7 | L:   84, R:  -60
Edge: Right | Lap: 0 | State: 0 | Ref:  24 | Err:  -7 | L:    5, R:   19
Edge: Right | Lap: 0 | State: 0 | Ref:  27 | Err: -10 | L: -100, R:  100
Edge: Right | Lap: 0 | State: 0 | Ref:  29 | Err: -12 | L: -100, R:  100
Edge: Right | Lap: 0 | State: 0 | Ref:  29 | Err: -12 | L:   -1, R:   25
Edge: Right | Lap: 0 | State: 0 | Ref:  29 | Err: -12 | L:   -1, R:   25
Edge: Right | Lap: 0 | State: 0 | Ref:  28 | Err: -11 | L:   79, R:  -55
Edge: Right | Lap: 0 | State: 0 | Ref:  26 | Err:  -9 | L:  100, R: -100
Edge: Right | Lap: 0 | State: 0 | Ref:  23 | Err:  -6 | L:  100, R: -100
Edge: Right | Lap: 0 | State: 0 | Ref:  24 | Err:  -7 | L:  -75, R:   99
Edge: Right | Lap: 0 | State: 0 | Ref:  28 | Err: -11 | L: -100, R:  100
Edge: Right | Lap: 0 | State: 0 | Ref:  31 | Err: -14 | L: -100, R:  100
Edge: Right | Lap: 0 | State: 0 | Ref:  31 | Err: -14 | L:   -3, R:   27
Edge: Right | Lap: 0 | State: 0 | Ref:  31 | Err: -14 | L:   -3, R:   27
Edge: Right | Lap: 0 | State: 0 | Ref:  30 | Err: -13 | L:   77, R:  -53
Edge: Right | Lap: 0 | State: 0 | Ref:  27 | Err: -10 | L:  100, R: -100
Edge: Right | Lap: 0 | State: 0 | Ref:  25 | Err:  -8 | L:  100, R: -100
Edge: Right | Lap: 0 | State: 0 | Ref:  25 | Err:  -8 | L:    4, R:   20
Edge: Right | Lap: 0 | State: 0 | Ref:  28 | Err: -11 | L: -100, R:  100
Edge: Right | Lap: 0 | State: 0 | Ref:  30 | Err: -13 | L: -100, R:  100
Edge: Right | Lap: 0 | State: 0 | Ref:  28 | Err: -11 | L:  100, R: -100
Edge: Right | Lap: 0 | State: 0 | Ref:  27 | Err: -10 | L:   80, R:  -56
